,Id,PID,Lot Frontage,Lot Area,Street,Overall Qual,Overall Cond,Home Age,Year Remod/Add,Mas Vnr Area,Exter Qual,Exter Cond,Bsmt Qual,Bsmt Cond,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating QC,Central Air,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplaces,Fireplace Qu,Garage Age,Garage Cars,Garage Area,Garage Qual,Garage Cond,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Misc Val,Mo Sold,Yr Sold,SalePrice,Neighborhood Quality,Above Ground SF,Baths,Finished Basement,Finished Bsmt YN,Outdoor SF,Total Quality,Total Quality * Above Ground SF,Home Age^2,2nd Flr SF^2,Foundation_PConc,Neighborhood_NridgHt,Garage Finish_Unf,Garage Finish_Fin,Mas Vnr Type_None,Bsmt Exposure_Gd,Garage Type_Detchd,MS SubClass_60,Foundation_CBlock,Garage Type_Attchd,Sale Type_New,Exterior 1st_VinylSd,Exterior 2nd_VinylSd,Mas Vnr Type_Stone,Lot Shape_Reg,Bsmt Exposure_No,Paved Drive_Y,MS Zoning_RM,Lot Shape_IR1,Roof Style_Hip,Paved Drive_N,Neighborhood_NoRidge,Mas Vnr Type_BrkFace,Neighborhood_StoneBr,Roof Style_Gable,Electrical_SBrkr
21,351,527131030,40.0,5664,1,8,5,10,2000,0.0,4,3,4,3,6,1158.0,1,0.0,343.0,1501.0,5,1,1659,0,0,1659,1.0,0.0,2,0,2,1,5,5,1,5,19.0,2.0,499.0,3,3,212,59,0,0,0,0,0,0,10,2009,278000,7,1659,2.75,6948.0,1,271,21,34839,100,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,1
22,12,527165230,65.69867962166671,7980,1,6,7,18,2007,0.0,3,4,4,3,5,935.0,1,0.0,233.0,1168.0,5,1,1187,0,0,1187,1.0,0.0,2,0,3,1,3,6,0,0,27.0,2.0,420.0,3,3,483,21,0,0,0,0,0,500,3,2010,185000,4,1187,2.75,4675.0,1,504,16,18992,324,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1
23,2339,527250040,100.0,34650,1,5,5,55,1955,0.0,3,3,3,3,3,1056.0,1,0.0,0.0,1056.0,3,0,1056,0,0,1056,1.0,0.0,1,0,3,1,3,5,0,0,64.0,2.0,572.0,3,3,264,0,0,0,0,0,0,0,1,2006,145000,4,1056,1.7000000000000002,3168.0,1,264,14,14784,3025,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
24,624,535104120,92.0,10573,1,6,6,49,1961,3.0,3,3,3,3,3,1312.0,1,0.0,141.0,1453.0,5,1,1453,0,0,1453,1.0,0.0,2,0,3,1,3,6,1,3,58.0,2.0,530.0,3,3,0,49,0,0,288,0,0,0,4,2009,187500,3,1453,2.75,3936.0,1,49,15,21795,2401,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1
25,86,532376160,65.0,8450,1,5,8,45,2009,0.0,3,4,3,3,6,553.0,4,117.0,224.0,894.0,5,1,894,0,0,894,1.0,0.0,1,0,3,1,3,5,1,4,46.0,1.0,336.0,3,3,416,144,0,0,0,0,0,0,4,2010,138500,3,894,1.7000000000000002,3786.0,1,560,14,12516,2025,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
26,1534,909277040,75.97335534068908,11700,1,5,6,73,1995,0.0,3,3,3,3,4,606.0,1,0.0,336.0,942.0,5,1,1265,673,0,1938,0.0,0.0,2,0,4,1,4,7,1,4,82.0,1.0,240.0,3,3,0,40,0,0,0,0,0,0,7,2008,198000,5,1938,2.1,2424.0,1,40,15,29070,5329,452929,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1
27,2243,911103060,75.0,8250,1,5,6,115,2006,0.0,3,4,3,3,1,0.0,1,0.0,957.0,957.0,2,0,1034,957,0,1991,0.0,0.0,2,0,4,2,3,9,0,0,0.0,0.0,0.0,0,0,0,0,133,0,0,0,0,0,6,2007,119600,1,1991,2.1,0.0,0,0,14,27874,13225,915849,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1
28,1957,535450190,60.0,8064,1,5,7,61,2006,0.0,3,4,3,3,1,0.0,1,0.0,672.0,672.0,5,1,672,252,0,924,0.0,0.0,1,0,3,1,3,6,1,1,16.0,2.0,576.0,3,3,0,0,0,0,0,0,0,2000,7,2007,122900,3,924,1.05,0.0,0,0,14,12936,3721,63504,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1
29,380,527355150,80.0,9600,1,8,5,29,1981,0.0,4,3,4,3,5,1104.0,1,0.0,1420.0,2524.0,3,1,2524,0,0,2524,1.0,0.0,2,1,4,1,4,9,1,4,38.0,2.0,542.0,3,3,474,120,0,0,0,0,0,0,7,2009,278000,5,2524,3.25,5520.0,1,594,20,50480,841,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1
30,2860,909276010,75.24142279618884,11435,1,8,7,81,1950,0.0,3,3,4,3,1,0.0,1,0.0,792.0,792.0,2,1,792,725,0,1517,0.0,0.0,1,0,3,1,4,7,2,4,88.0,2.0,400.0,3,3,0,0,0,0,0,0,0,0,6,2006,230000,5,1517,1.05,0.0,0,0,19,28823,6561,525625,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1
31,2517,533250130,30.0,9549,1,8,5,15,1996,0.0,4,4,4,4,2,437.0,6,1057.0,0.0,1494.0,5,1,1494,0,0,1494,1.0,0.0,1,1,2,1,5,6,1,4,24.0,2.0,481.0,3,3,0,30,0,0,216,0,0,0,4,2006,270000,6,1494,2.2,7216.0,1,30,21,31374,225,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
32,1933,535302070,60.0,10950,1,6,6,58,1952,0.0,3,3,3,3,5,441.0,1,0.0,507.0,948.0,3,1,948,0,0,948,0.0,0.0,1,0,2,1,3,5,0,0,67.0,2.0,410.0,3,3,0,48,0,0,0,0,0,0,4,2007,125000,3,948,1.05,2205.0,1,48,15,14220,3364,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1
33,820,906340110,79.0,10637,1,8,5,3,2008,336.0,4,3,5,3,6,1288.0,1,0.0,417.0,1705.0,5,1,1718,0,0,1718,1.0,0.0,2,0,3,1,4,7,1,4,12.0,3.0,826.0,3,3,208,44,0,0,0,0,0,0,9,2009,297000,5,1718,2.75,7728.0,1,252,21,36078,9,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1
34,675,535426150,80.0,9000,1,6,6,52,1958,82.0,3,3,4,3,1,0.0,1,0.0,160.0,160.0,2,1,1142,0,0,1142,0.0,0.0,1,0,2,1,3,5,1,4,61.0,1.0,384.0,3,3,0,28,64,0,0,0,0,0,4,2009,113500,3,1142,1.05,0.0,0,28,16,18272,2704,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1
35,2910,923225240,41.0,2665,1,5,6,33,1977,0.0,3,3,3,3,5,548.0,3,173.0,36.0,757.0,5,1,925,550,0,1475,0.0,0.0,2,0,4,1,3,6,1,3,42.0,1.0,336.0,3,3,104,26,0,0,0,0,0,0,7,2006,127000,1,1475,2.1,3259.0,1,130,14,20650,1089,302500,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1
36,21,527358140,105.0,11751,1,6,6,33,1977,480.0,3,3,4,3,4,705.0,1,0.0,1139.0,1844.0,5,1,1844,0,0,1844,0.0,0.0,2,0,3,1,3,7,1,3,42.0,2.0,546.0,3,3,0,122,0,0,0,0,0,0,1,2010,190000,5,1844,2.1,2820.0,1,122,16,29504,1089,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1
37,1873,534177210,80.0,9600,1,7,6,37,1973,320.0,3,3,3,3,5,916.0,1,0.0,326.0,1242.0,2,1,1242,0,0,1242,0.0,0.0,1,1,3,1,3,6,1,3,46.0,2.0,528.0,3,3,0,0,0,0,0,0,0,0,9,2007,175500,5,1242,1.55,4580.0,1,0,16,19872,1369,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1
38,2125,907135050,60.0,8428,1,5,7,16,1994,0.0,3,4,4,4,6,420.0,1,0.0,570.0,990.0,5,1,990,0,0,990,1.0,0.0,1,0,3,1,3,5,0,0,24.0,1.0,384.0,3,3,256,0,0,0,0,0,0,0,7,2007,146000,5,990,1.7000000000000002,2520.0,1,256,15,14850,256,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1
39,1489,908102260,75.0,9937,1,5,6,45,1965,0.0,4,3,3,3,4,830.0,2,290.0,136.0,1256.0,4,1,1256,0,0,1256,1.0,0.0,1,1,3,1,3,6,0,0,54.0,1.0,276.0,3,3,736,68,0,0,0,0,0,0,6,2008,147500,2,1256,2.2,3900.0,1,804,15,18840,2025,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
40,983,923275040,68.79489238538287,9101,1,5,6,32,1978,104.0,3,4,4,3,6,1097.0,1,0.0,0.0,1097.0,5,1,1110,0,0,1110,1.0,0.0,1,0,1,1,4,4,1,3,41.0,2.0,602.0,3,3,303,30,0,0,0,0,0,0,7,2009,165500,4,1110,1.7000000000000002,6582.0,1,333,16,17760,1024,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1
41,1325,902406090,81.0,12150,1,5,5,56,1954,335.0,3,3,3,3,1,0.0,1,0.0,1050.0,1050.0,5,0,1050,745,0,1795,0.0,0.0,2,0,4,1,3,7,0,0,65.0,1.0,352.0,2,3,0,0,0,0,0,0,0,0,11,2008,131500,1,1795,2.1,0.0,0,0,14,25130,3136,555025,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0
42,1378,905102170,70.0,11200,1,5,5,45,1965,0.0,3,3,3,3,3,906.0,1,0.0,134.0,1040.0,5,1,1040,0,0,1040,1.0,0.0,1,0,3,1,3,5,0,0,54.0,1.0,384.0,3,3,0,0,0,0,0,0,0,0,2,2008,129500,3,1040,1.7000000000000002,2718.0,1,0,14,14560,2025,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1
43,1537,909281110,100.0,9670,1,8,6,75,1950,40.0,3,3,3,2,2,210.0,1,0.0,398.0,608.0,3,1,983,890,0,1873,0.0,0.0,1,1,4,1,3,9,2,4,84.0,2.0,786.0,2,3,0,0,207,0,0,0,0,0,6,2008,257076,5,1873,1.55,420.0,1,0,17,31841,5625,792100,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,1
44,905,909101140,60.0,10998,1,5,5,69,1960,0.0,3,3,3,3,2,408.0,4,420.0,156.0,984.0,5,1,984,620,0,1604,0.0,0.0,2,0,3,1,3,6,0,0,42.0,2.0,660.0,3,3,0,68,0,0,0,0,0,0,7,2009,117000,2,1604,2.1,2496.0,1,68,14,22456,4761,384400,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
45,1532,909275050,60.0,7200,1,7,6,79,2000,0.0,3,2,4,3,1,0.0,1,0.0,776.0,776.0,3,1,851,651,0,1502,0.0,0.0,1,1,3,1,3,6,1,4,88.0,1.0,270.0,3,3,0,0,112,0,0,0,0,0,2,2008,149000,5,1502,1.55,0.0,0,0,17,25534,6241,423801,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
46,132,534475100,80.0,9920,1,5,5,56,1954,110.0,3,3,3,3,3,354.0,2,290.0,412.0,1056.0,3,1,1063,0,0,1063,1.0,0.0,1,0,3,1,3,6,0,0,65.0,1.0,280.0,3,3,0,0,164,0,0,0,0,0,2,2010,128000,3,1063,1.7000000000000002,1642.0,1,0,14,14882,3136,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1
47,1078,528188090,36.0,2448,1,7,5,7,2004,106.0,4,3,4,3,1,0.0,1,0.0,764.0,764.0,5,1,764,862,0,1626,0.0,0.0,2,1,2,1,4,6,0,0,16.0,2.0,474.0,3,3,0,27,0,0,0,0,0,0,10,2008,155000,7,1626,2.6,0.0,0,27,19,30894,49,743044,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,1
48,2511,533221080,50.95871787431359,2998,1,6,5,10,2000,513.0,4,3,4,3,6,353.0,1,0.0,403.0,756.0,5,1,768,756,0,1524,0.0,0.0,2,1,2,1,4,4,0,0,19.0,2.0,440.0,3,3,0,32,0,0,0,0,0,0,6,2006,166000,6,1524,2.6,2118.0,1,32,18,27432,100,571536,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1
49,912,909250220,65.0,7804,1,4,3,82,1950,0.0,3,3,3,3,4,622.0,1,0.0,500.0,1122.0,3,1,1328,653,0,1981,1.0,0.0,2,0,4,1,4,7,2,3,38.0,2.0,576.0,3,3,431,44,0,0,0,0,0,0,12,2009,135000,2,1981,2.75,2488.0,1,475,14,27734,6724,426409,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
50,2351,527356020,80.0,16692,1,7,5,32,1978,184.0,3,3,4,3,4,790.0,2,469.0,133.0,1392.0,3,1,1392,1392,0,2784,1.0,0.0,3,1,5,1,4,12,2,3,41.0,2.0,564.0,3,3,0,112,0,0,440,519,2,2000,7,2006,250000,5,2784,4.300000000000001,4098.0,1,112,18,50112,1024,1937664,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1
51,330,923226250,21.0,1476,1,4,7,40,1970,0.0,3,3,3,3,6,176.0,1,0.0,370.0,546.0,5,1,546,546,0,1092,0.0,0.0,1,1,3,1,3,5,0,0,0.0,0.0,0.0,0,0,200,26,0,0,0,0,0,0,3,2010,76000,1,1092,1.55,1056.0,1,226,13,14196,1600,298116,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1
52,2586,535305120,75.0,10170,1,6,6,59,1951,522.0,3,3,3,3,1,0.0,1,0.0,216.0,216.0,3,1,1575,0,0,1575,0.0,0.0,1,1,2,1,4,5,1,4,68.0,2.0,400.0,3,3,0,0,0,0,0,0,0,0,6,2006,155000,3,1575,1.55,0.0,0,0,16,25200,3481,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1
53,224,905106140,80.0,9364,1,6,7,41,1969,143.0,3,3,3,3,5,371.0,1,0.0,292.0,663.0,3,1,663,689,0,1352,0.0,0.0,1,1,4,1,3,7,0,0,50.0,1.0,299.0,3,3,379,36,0,0,0,0,0,0,3,2010,158000,3,1352,1.55,1855.0,1,415,15,20280,1681,474721,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1
54,98,533212020,24.0,2544,1,7,5,6,2005,0.0,4,3,4,3,6,368.0,5,42.0,190.0,600.0,5,1,600,600,0,1200,1.0,0.0,2,1,2,1,4,4,0,0,15.0,2.0,480.0,3,3,0,172,0,0,0,0,0,0,2,2010,149500,6,1200,3.25,2418.0,1,172,19,22800,36,360000,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1
55,2565,534479300,82.0,9888,1,5,6,56,1975,0.0,3,4,3,3,4,486.0,1,0.0,450.0,936.0,3,1,936,0,0,936,0.0,0.0,1,0,2,1,3,5,0,0,65.0,1.0,240.0,3,3,0,0,160,0,0,0,0,0,3,2006,121000,3,936,1.05,1944.0,1,0,14,13104,3136,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
